Gene	Exp0
c1_A1BG	0.673579
c1_A1BG-AS1	0.246118
c1_A2M-AS1	0.33286
c1_AAAS	0.607
c1_AACS	0.393867
c1_AADAT	0.354078
c1_AAED1	0.780862
c1_AAGAB	0.71322
c1_AAK1	0.43509
c1_AAMP	0.684828
c1_AAR2	0.509891
c1_AARD	0.166352
c1_AARS	0.491347
c1_AARS2	0.384675
c1_AARSD1	0.382035
c1_AASDH	0.397389
c1_AASDHPPT	0.428223
c1_AATF	0.697824
c1_ABAT	0.817913
c1_ABCA10	0.656125
c1_ABCA12	0
c1_ABCA2	0.548998
c1_ABCA3	0.269846
c1_ABCA5	0.877072
c1_ABCA6	0.450972
c1_ABCB10	0.235512
c1_ABCB4	0.548416
c1_ABCB7	0.691504
c1_ABCB8	0.316823
c1_ABCC1	0.58158
c1_ABCC10	0.366505
c1_ABCC5	0.29255
c1_ABCC6	0.783485
c1_ABCC9	1.1036
c1_ABCD1	0.303802
c1_ABCD2	0.18457
c1_ABCD3	0.689876
c1_ABCD4	0.791466
c1_ABCE1	0.547833
c1_ABCF1	0.698826
c1_ABCF2.1	0.706912
c1_ABCF3	0.452455
c1_ABCG1	0.778673
c1_ABHD10	0.484265
c1_ABHD11	0.729047
c1_ABHD12	0.596243
c1_ABHD13	0.502762
c1_ABHD14A	0.544402
c1_ABHD17A	0.373335
c1_ABHD17B	0.441994
c1_ABHD17C	0.41322
c1_ABHD18	0.260392
c1_ABHD2	0.313599
c1_ABHD3	0.791594
c1_ABHD5	0.392
c1_ABHD8	0.402937
c1_ABI1	0.557738
c1_ABI2	0.666112
c1_ABL1	0.345122
c1_ABL2	0.299434
c1_ABLIM1	0.361825
c1_ABLIM2	0.236015
c1_ABR	0.529017
c1_ABRACL	0.695898
c1_ABRAXAS2	0.4599
c1_ABT1	0.770365
c1_ABTB2	0.309638
c1_AC002116.2	0.754984
c1_AC002398.1	0.84616
c1_AC002429.2	0.103395
c1_AC002456.1	0.233911
c1_AC002467.1	0.438645
c1_AC002558.2	0.548964
c1_AC003102.1	0.308317
c1_AC003965.1	0.38821
c1_AC003985.2	0.910898
c1_AC004130.1	0.923153
c1_AC004158.1	0.603966
c1_AC004264.1	0.494609
c1_AC004494.1	0.306575
c1_AC004540.1	0.294561
c1_AC004540.2	0.456374
c1_AC004556.1	0.681734
c1_AC004754.1	0.536304
c1_AC004816.2	0.327195
c1_AC004817.3	0.535451
c1_AC004824.1	0.42577
c1_AC004854.2	0.397104
c1_AC004918.1	0.250662
