ffinal3...1.	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A00110g	0.2593730128	-1.1002204035	-1.2193792752	-0.8380027395	-0.8408473907	-0.9600062624	-0.5786297267	-0.1191588717	0.262217664	0.3813765357
CAGL0A00121g	-0.0249209558999999	-0.110541996100000	-0.0158094454000001	-0.1025349604	-0.135462952	-0.0407304013000000	-0.1274559163	0.0947325507	0.00800703569999996	-0.0867255150000001
CAGL0A00143g	-0.2588174983	0.2931424376	0.00328733330000008	1.1863277968	0.0343249393	-0.255530165	0.9275102985	-0.2898551043	0.8931853592	1.1830404635
CAGL0A00165g	-0.1581469767	0.2685691145	0.0214461967	-0.0476284369	0.1104221378	-0.136700780000000	-0.2057754136	-0.2471229178	-0.3161975514	-0.0690746336
CAGL0A00187g	-0.1304878671	0.1666358607	0.2924655979	0.1072786678	0.0361479936	0.1619777308	-0.0232091993	0.1258297372	-0.0593571929	-0.1851869301
CAGL0A00209g	0.1834489112	0.00135500179999999	0.2910169369	-0.0669749055	0.184803913	0.4744658481	0.116474005700000	0.2896619351	-0.0683299073000001	-0.3579918424
CAGL0A00231g	-0.1502222043	-0.1743246076	-0.1585929375	0.2192983623	-0.3245468119	-0.3088151418	0.069076158	0.0157316701000000	0.3936229699	0.3778912998
CAGL0A00253g	0.1899720429	-0.0197244087000000	0.0576856695	0.0496421161	0.1702476342	0.2476577124	0.239614159	0.0774100782	0.0693665248	-0.00804355339999997
CAGL0A00275g	-0.0901545099	-0.0201967724000000	0.084803025	0.1646512415	-0.1103512823	-0.00535148489999998	0.0744967316	0.1049997974	0.1848480139	0.0798482165
CAGL0A00297g	-0.1564604371	0.2342038301	0.4956286281	-0.0798434448	0.077743393	0.339168191	-0.2363038819	0.261424798	-0.3140472749	-0.5754720729
CAGL0A00319g	-0.0944314261	0.029305631	-0.0233913925000000	-0.2002156201	-0.0651257951	-0.1178228186	-0.2946470462	-0.0526970235	-0.2295212511	-0.1768242276
