Gene	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
c1_AASS	2	2	2	2	2	3	2	2	2
c1_GAPDH	2	2	2	2	2	3	2	2	2
c1_UNC5B	2	2	2	2	2	3	2	2	2
c1_CACHD1	2	2	2	2	2	3	2	2	2
c1_MEIS2	2	2	2	2	2	3	2	2	2
c1_GPC3	2	2	2	2	2	3	2	2	2
c1_ZNF888	2	2	2	2	2	3	2	2	2
c1_ATF5	2	2	2	2	2	3	2	2	2
c1_MEGF6	2	2	2	2	2	3	2	2	2
c1_RGS6	2	2	2	2	2	3	2	2	2
c1_AL590617.2	2	2	2	2	2	3	2	2	2
c1_HSD17B14	2	2	2	2	2	3	2	2	2
c1_PGGHG	2	2	2	2	2	3	2	2	2
c1_AL512353.1	2	2	2	2	2	3	2	2	2
c1_HES5	2	2	2	2	2	3	2	2	2
c1_NNAT	2	2	2	2	2	3	2	2	2
c1_AEN	2	2	2	2	2	3	2	2	2
c1_CLEC18C	2	2	2	2	2	3	2	2	2
c1_MT-ND1	2	2	2	2	2	3	2	2	2
c1_AC099489.1	2	2	2	2	2	3	2	2	2
c1_CDC42EP5	2	2	2	2	2	3	2	2	2
c1_MASP1	2	2	2	2	2	3	2	2	2
c1_AC022075.1	2	2	2	2	2	3	2	2	2
c1_CA14	2	2	2	2	2	3	2	2	2
c1_MAL	2	2	2	2	2	3	2	2	2
c1_ATP1B1	2	2	2	2	2	3	2	2	2
c1_LINC01980	2	2	2	2	2	3	2	2	2
c1_SERPING1	2	2	2	2	2	3	2	2	2
c1_SOX4	2	2	2	2	2	3	2	2	2
c1_CYYR1	2	2	2	2	2	3	2	2	2
c1_AC019257.1	2	2	2	2	2	3	2	2	2
c1_COL4A2	2	2	2	2	2	3	2	2	2
c1_TNFSF9	2	2	2	2	2	3	2	2	2
c1_FAM227B	2	2	2	2	2	3	2	2	2
c1_AC007906.2	2	2	2	2	2	3	2	2	2
c1_HEY2	2	2	2	2	2	3	2	2	2
c1_SOX1	2	2	2	2	2	3	2	2	2
c1_DDIT4	2	2	2	2	2	3	2	2	2
c1_AC053527.1	2	2	2	2	2	3	2	2	2
c1_KCNQ1OT1	2	2	2	2	2	3	2	2	2
c1_BBS9	2	2	2	2	2	3	2	2	2
c1_ALPK2	2	2	2	2	2	3	2	2	2
c1_MT-ND2	2	2	2	2	2	3	2	2	2
c1_CEBPB	2	2	2	2	2	3	2	2	2
c1_BCAR3	2	2	2	2	2	3	2	2	2
c1_NOVA1	2	2	2	2	2	3	2	2	2
c1_COL6A2	2	2	2	2	2	3	2	2	2
c1_BTG1	2	2	2	2	2	3	2	2	2
c1_PABPC4L	2	2	2	2	2	3	2	2	2
c1_IFITM1	2	2	2	2	2	3	2	2	2
c1_HLA-B	2	2	2	2	2	3	2	2	2
c1_SH3BP1	2	2	2	2	2	3	2	2	2
c1_HOTAIRM1	2	2	2	2	2	3	2	2	2
c1_NR2F1	2	2	2	2	2	3	2	2	2
c1_TSPAN12	2	2	2	2	2	3	2	2	2
c1_FOXS1	2	2	2	2	2	3	2	2	2
c1_OCSTAMP	2	2	2	2	2	3	2	2	2
c1_PCK2	2	2	2	2	2	3	2	2	2
c1_STK26	2	2	2	2	2	3	2	2	2
c1_ENO1	2	2	2	2	2	3	2	2	2
c1_PDLIM1	2	2	2	2	2	3	2	2	2
c1_PEG10	2	2	2	2	2	3	2	2	2
c1_POU3F3	2	2	2	2	2	3	2	2	2
c1_PRCP	2	2	2	2	2	3	2	2	2
c1_PROSER2	2	2	2	2	2	3	2	2	2
c1_PTGR1	2	2	2	2	2	3	2	2	2
c1_PTHLH	2	2	2	2	2	3	2	2	2
c1_PTX3	2	2	2	2	2	3	2	2	2
c1_RAB31	2	2	2	2	2	3	2	2	2
c1_RAP2B	2	2	2	2	2	3	2	2	2
c1_RPL17	2	2	2	2	2	3	2	2	2
c1_SINHCAF	2	2	2	2	2	3	2	2	2
c1_SOX3	2	2	2	2	2	3	2	2	2
c1_TRIM38	2	2	2	2	2	3	2	2	2
c1_FOSL1	2	2	2	2	2	3	2	2	2
c1_TPST2	2	2	2	2	2	3	2	2	2
c1_FAM95B1	2	2	2	2	2	3	2	2	2
c1_TNFAIP2	2	2	2	2	2	3	2	2	2
c1_FAM162A	2	2	2	2	2	3	2	2	2
c1_TIMP3	2	2	2	2	2	3	2	2	2
c1_FABP7	2	2	2	2	2	3	2	2	2
c1_SUGCT	2	2	2	2	2	3	2	2	2
c1_EIF1	2	2	2	2	2	3	2	2	2
DUMMY39	-100	-100	-100	-100	-100	-100	-100	-100	-100
c1_AC067735.1	3	3	3	3	3	2	3	3	3
c1_ADAMTS15	3	3	3	3	3	2	3	3	3
c1_ADAMTSL1	3	3	3	3	3	2	3	3	3
c1_ADGB	3	3	3	3	3	2	3	3	3
c1_AL022068.1	3	3	3	3	3	2	3	3	3
c1_AL031777.3	3	3	3	3	3	2	3	3	3
c1_AL132780.2	3	3	3	3	3	2	3	3	3
c1_AL354836.1	3	3	3	3	3	2	3	3	3
c1_AL441992.1	3	3	3	3	3	2	3	3	3
c1_AL445985.1	3	3	3	3	3	2	3	3	3
c1_AL928921.2	3	3	3	3	3	2	3	3	3
c1_ALDH3B1	3	3	3	3	3	2	3	3	3
c1_ANXA7	3	3	3	3	3	2	3	3	3
c1_APPL2	3	3	3	3	3	2	3	3	3
c1_ARHGAP6	3	3	3	3	3	2	3	3	3
c1_ARMC2	3	3	3	3	3	2	3	3	3
c1_ATXN1	3	3	3	3	3	2	3	3	3
c1_BBOF1	3	3	3	3	3	2	3	3	3
c1_BTF3	3	3	3	3	3	2	3	3	3
c1_C19orf70	3	3	3	3	3	2	3	3	3
c1_C2orf40	3	3	3	3	3	2	3	3	3
c1_C8B	3	3	3	3	3	2	3	3	3
c1_C9orf24	3	3	3	3	3	2	3	3	3
c1_CAVIN2	3	3	3	3	3	2	3	3	3
c1_CCDC30	3	3	3	3	3	2	3	3	3
c1_CCDC39.1	3	3	3	3	3	2	3	3	3
c1_CCDC40	3	3	3	3	3	2	3	3	3
c1_CCDC96	3	3	3	3	3	2	3	3	3
c1_CCND1	3	3	3	3	3	2	3	3	3
c1_CCND2	3	3	3	3	3	2	3	3	3
c1_CD36	3	3	3	3	3	2	3	3	3
c1_CDS1	3	3	3	3	3	2	3	3	3
c1_CEP126	3	3	3	3	3	2	3	3	3
c1_CFAP47	3	3	3	3	3	2	3	3	3
c1_CFAP53	3	3	3	3	3	2	3	3	3
c1_CFAP97D2	3	3	3	3	3	2	3	3	3
c1_CFLAR	3	3	3	3	3	2	3	3	3
c1_CHID1	3	3	3	3	3	2	3	3	3
c1_CHPF2	3	3	3	3	3	2	3	3	3
c1_CHRDL1	3	3	3	3	3	2	3	3	3
c1_CNNM1	3	3	3	3	3	2	3	3	3
c1_COL1A1	3	3	3	3	3	2	3	3	3
c1_COL21A1	3	3	3	3	3	2	3	3	3
c1_COL5A3	3	3	3	3	3	2	3	3	3
c1_COLEC12	3	3	3	3	3	2	3	3	3
c1_CREB5	3	3	3	3	3	2	3	3	3
c1_CRIP2	3	3	3	3	3	2	3	3	3
c1_CXCL16	3	3	3	3	3	2	3	3	3
c1_CYB5R3	3	3	3	3	3	2	3	3	3
c1_CYP39A1	3	3	3	3	3	2	3	3	3
c1_CYTOR	3	3	3	3	3	2	3	3	3
c1_DAB1	3	3	3	3	3	2	3	3	3
c1_DCBLD1	3	3	3	3	3	2	3	3	3
c1_DDX60L	3	3	3	3	3	2	3	3	3
c1_DENND2A	3	3	3	3	3	2	3	3	3
c1_DNAH12	3	3	3	3	3	2	3	3	3
c1_DNAH6	3	3	3	3	3	2	3	3	3
c1_DNAI1	3	3	3	3	3	2	3	3	3
c1_DNAJB13	3	3	3	3	3	2	3	3	3
c1_DRC3	3	3	3	3	3	2	3	3	3
c1_DSE	3	3	3	3	3	2	3	3	3
c1_DST	3	3	3	3	3	2	3	3	3
c1_DSTN	3	3	3	3	3	2	3	3	3
c1_EFCAB14	3	3	3	3	3	2	3	3	3
c1_EFCAB6	3	3	3	3	3	2	3	3	3
c1_EFHB	3	3	3	3	3	2	3	3	3
c1_EFNB2	3	3	3	3	3	2	3	3	3
c1_EHD2	3	3	3	3	3	2	3	3	3
c1_EIF3G	3	3	3	3	3	2	3	3	3
c1_ELMO1	3	3	3	3	3	2	3	3	3
c1_ELOB	3	3	3	3	3	2	3	3	3
c1_ENO4	3	3	3	3	3	2	3	3	3
c1_ETV1	3	3	3	3	3	2	3	3	3
c1_EXPH5	3	3	3	3	3	2	3	3	3
c1_EXT1	3	3	3	3	3	2	3	3	3
c1_FAM174B	3	3	3	3	3	2	3	3	3
c1_FAM227A	3	3	3	3	3	2	3	3	3
c1_FBN1	3	3	3	3	3	2	3	3	3
c1_FGF13-AS1	3	3	3	3	3	2	3	3	3
c1_FHAD1	3	3	3	3	3	2	3	3	3
c1_FIGN	3	3	3	3	3	2	3	3	3
c1_FILIP1L	3	3	3	3	3	2	3	3	3
c1_FLNB	3	3	3	3	3	2	3	3	3
c1_FN1	3	3	3	3	3	2	3	3	3
c1_FRMD4A	3	3	3	3	3	2	3	3	3
c1_FURIN	3	3	3	3	3	2	3	3	3
c1_FUT8	3	3	3	3	3	2	3	3	3
c1_GALNS	3	3	3	3	3	2	3	3	3
c1_GALNT10	3	3	3	3	3	2	3	3	3
c1_GALNT5	3	3	3	3	3	2	3	3	3
c1_GHR	3	3	3	3	3	2	3	3	3
c1_GLG1	3	3	3	3	3	2	3	3	3
c1_GLI3	3	3	3	3	3	2	3	3	3
c1_GLIPR1	3	3	3	3	3	2	3	3	3
c1_GNS	3	3	3	3	3	2	3	3	3
c1_GOLGA4	3	3	3	3	3	2	3	3	3
c1_GPR1	3	3	3	3	3	2	3	3	3
c1_HEG1	3	3	3	3	3	2	3	3	3
c1_HEXIM1	3	3	3	3	3	2	3	3	3
c1_HIPK1	3	3	3	3	3	2	3	3	3
c1_HS3ST4	3	3	3	3	3	2	3	3	3
c1_IDE	3	3	3	3	3	2	3	3	3
c1_IFNAR1	3	3	3	3	3	2	3	3	3
c1_IFT122	3	3	3	3	3	2	3	3	3
c1_IFT88	3	3	3	3	3	2	3	3	3
c1_IGFBP7-AS1	3	3	3	3	3	2	3	3	3
c1_IL5RA	3	3	3	3	3	2	3	3	3
c1_IQCG	3	3	3	3	3	2	3	3	3
c1_ITIH2	3	3	3	3	3	2	3	3	3
c1_JPH2	3	3	3	3	3	2	3	3	3
c1_KCNF1	3	3	3	3	3	2	3	3	3
