Species	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
clusterset107	2	1	1	1	1	2	2	1	1
clusterset71	3	1	1	1	3	3	3	3	3
clusterset52	2	1	1	1	2	2	2	2	2
clusterset65	2	1	1	1	1	1	2	1	1
clusterset75	3	1	1	1	1	1	2	1	1
clusterset63	2	1	1	1	1	1	1	1	1
clusterset95	3	1	1	1	1	1	1	1	1
clusterset62	3	2	2	2	2	2	2	2	2
clusterset76	1	1	2	1	1	2	2	2	2
clusterset69	1	1	2	1	1	1	2	1	1
clusterset68	1	1	1	1	1	1	3	1	1
clusterset74	2	2	2	2	2	2	3	3	2
clusterset110	2	1	1	1	2	2	3	2	2
clusterset53	1	1	1	1	1	1	2	1	1
clusterset50	2	2	2	2	2	2	3	2	2
clusterset109	2	1	1	1	2	2	3	3	2
clusterset77	2	1	1	1	1	3	3	3	3
clusterset87	2	1	1	1	2	3	3	3	3
clusterset106	1	1	1	1	1	2	3	3	1
clusterset83	1	1	1	1	1	2	3	3	3
clusterset92	1	1	1	1	1	3	3	3	3
clusterset51	2	2	2	2	2	3	3	3	3
clusterset61	2	2	2	2	2	3	3	3	2
clusterset57	1	1	1	1	1	2	2	2	2
clusterset80	1	1	1	1	1	2	2	1	1
clusterset56	1	1	1	1	1	2	2	2	1
clusterset73	2	1	1	1	1	2	1	1	1
clusterset94	1	2	1	1	1	2	1	1	1
clusterset108	2	1	1	1	2	3	2	2	2
clusterset90	1	1	1	1	1	3	2	1	1
clusterset54	1	1	1	1	1	2	1	1	1
clusterset72	1	1	1	1	1	3	1	1	1
clusterset39	2	2	2	2	2	3	2	2	2
clusterset70	1	1	2	1	1	3	1	1	1
clusterset67	1	1	2	1	1	2	1	1	1
clusterset93	2	1	2	1	1	1	1	1	1
clusterset66	2	2	1	1	1	1	1	1	1
clusterset58	3	3	3	3	3	2	2	2	3
clusterset40	3	3	3	3	3	2	3	3	3
clusterset102	2	2	2	2	2	1	1	1	2
clusterset91	2	2	2	2	2	1	1	1	1
clusterset60	3	3	3	3	3	2	2	2	2
clusterset98	1	2	2	2	1	2	1	1	1
clusterset99	1	2	2	1	1	1	1	1	1
clusterset41	2	3	3	3	2	2	2	2	2
clusterset88	1	2	2	2	1	1	1	1	1
clusterset79	1	3	3	3	1	1	1	1	1
clusterset89	2	2	3	2	2	2	2	2	2
clusterset82	1	1	3	1	1	1	1	1	1
clusterset55	1	1	2	1	1	1	1	1	1
clusterset96	1	3	1	1	1	1	2	1	1
clusterset101	1	3	1	1	1	1	1	1	1
clusterset64	1	2	1	1	1	1	1	1	1
clusterset78	1	2	1	1	1	1	2	1	1
